text,span,polarity,polarity_predicted,aspect,ordinal
i have just received the product within one day delivery...,day delivery,positive,neutral,delivery,0
"it's tiny but superperformer,producing heat upto 1 or 2 mt.room can get heated up with in 30 min.,value for price paid, it's working good so far 1st day,hardly used it a week and i notice dark bands on the elements....!,very comportable to use.but defect of safety device's, is an issue",price,positive,positive,value,0
"i would certainly appreciate practical features like high reliability, software and security updates and high battery capacity sufficient for 24 hours or preferably 48 hours at my normal level of usage .",battery capacity,neutral,positive,battery,0
"generally, it is worth going for the higher memory and higher ram versions as these parameters affect the performance and the difference in cost is relatively small.",performance,negative,negative,performance,0
"generally, it is worth going for the higher memory and higher ram versions as these parameters affect the performance and the difference in cost is relatively small.",cost,negative,negative,value,0
"i am willing to live with these perceived shortcomings, so long as the m33 meets my requirements.i was glad to find that samsung has taken an environmentally friendly step of offering many models of handsets without chargers because old chargers, like old handsets, add to e waste.",chargers,positive,positive,battery,0
"i am willing to live with these perceived shortcomings, so long as the m33 meets my requirements.i was glad to find that samsung has taken an environmentally friendly step of offering many models of handsets without chargers because old chargers, like old handsets, add to e waste.",chargers,positive,positive,battery,0
"however, it needs to be kept in mind that new handsets require higher capacity chargers.",capacity chargers,neutral,neutral,battery,0
"the recommended charger for m33 is 25 watts, but the chargers i had at home are rated at 5 or 10 watts.to cut a long story short, i ordered a 25 watt charger along with the phone to avoid compromising with the charging time.",charger,neutral,positive,battery,0
"the recommended charger for m33 is 25 watts, but the chargers i had at home are rated at 5 or 10 watts.to cut a long story short, i ordered a 25 watt charger along with the phone to avoid compromising with the charging time.",chargers,neutral,neutral,battery,0
"the recommended charger for m33 is 25 watts, but the chargers i had at home are rated at 5 or 10 watts.to cut a long story short, i ordered a 25 watt charger along with the phone to avoid compromising with the charging time.",watt charger,neutral,neutral,battery,0
"after using the new handset for a couple of weeks, i find that my phone is at 60 70 charge at the end of the day, and it takes 30 40 minutes for complete charging one of the useful features of m33 is that it shows the time remaining for complete charging as soon as it is plugged in for charging .",charge,positive,neutral,battery,0
